city,season,year,fw_start_date,fw_end_date,n_brands_universe,source
london,FW,2006,2006-02-17,2006-02-22,1,synthetic-convention
milan,FW,2006,2006-02-23,2006-02-28,8,synthetic-convention
paris,FW,2006,2006-03-01,2006-03-06,10,synthetic-convention
new_york,SS,2006,2006-09-08,2006-09-14,5,synthetic-convention
london,SS,2006,2006-09-15,2006-09-20,1,synthetic-convention
milan,SS,2006,2006-09-21,2006-09-26,8,synthetic-convention
paris,SS,2006,2006-09-27,2006-10-02,10,synthetic-convention
new_york,FW,2007,2007-02-09,2007-02-15,5,synthetic-convention
london,FW,2007,2007-02-16,2007-02-21,1,synthetic-convention
milan,FW,2007,2007-02-22,2007-02-27,8,synthetic-convention
paris,FW,2007,2007-02-28,2007-03-05,10,synthetic-convention
new_york,SS,2007,2007-09-07,2007-09-13,5,synthetic-convention
london,SS,2007,2007-09-14,2007-09-19,1,synthetic-convention
milan,SS,2007,2007-09-20,2007-09-25,8,synthetic-convention
paris,SS,2007,2007-09-26,2007-10-01,10,synthetic-convention
new_york,FW,2008,2008-02-08,2008-02-14,5,synthetic-convention
london,FW,2008,2008-02-15,2008-02-20,1,synthetic-convention
milan,FW,2008,2008-02-21,2008-02-26,8,synthetic-convention
paris,FW,2008,2008-02-27,2008-03-03,10,synthetic-convention
new_york,SS,2008,2008-09-12,2008-09-18,5,synthetic-convention
london,SS,2008,2008-09-19,2008-09-24,1,synthetic-convention
milan,SS,2008,2008-09-25,2008-09-30,8,synthetic-convention
paris,SS,2008,2008-10-01,2008-10-06,10,synthetic-convention
new_york,FW,2009,2009-02-13,2009-02-19,5,synthetic-convention
london,FW,2009,2009-02-20,2009-02-25,1,synthetic-convention
milan,FW,2009,2009-02-26,2009-03-03,8,synthetic-convention
paris,FW,2009,2009-03-04,2009-03-09,10,synthetic-convention
new_york,SS,2009,2009-09-11,2009-09-17,5,synthetic-convention
london,SS,2009,2009-09-18,2009-09-23,1,synthetic-convention
milan,SS,2009,2009-09-24,2009-09-29,8,synthetic-convention
paris,SS,2009,2009-09-30,2009-10-05,10,synthetic-convention
new_york,FW,2010,2010-02-12,2010-02-18,5,synthetic-convention
london,FW,2010,2010-02-19,2010-02-24,1,synthetic-convention
milan,FW,2010,2010-02-25,2010-03-02,8,synthetic-convention
paris,FW,2010,2010-03-03,2010-03-08,10,synthetic-convention
new_york,SS,2010,2010-09-10,2010-09-16,5,synthetic-convention
london,SS,2010,2010-09-17,2010-09-22,1,synthetic-convention
milan,SS,2010,2010-09-23,2010-09-28,8,synthetic-convention
paris,SS,2010,2010-09-29,2010-10-04,10,synthetic-convention
new_york,FW,2011,2011-02-11,2011-02-17,5,synthetic-convention
london,FW,2011,2011-02-18,2011-02-23,1,synthetic-convention
milan,FW,2011,2011-02-24,2011-03-01,8,synthetic-convention
paris,FW,2011,2011-03-02,2011-03-07,10,synthetic-convention
new_york,SS,2011,2011-09-09,2011-09-15,5,synthetic-convention
london,SS,2011,2011-09-16,2011-09-21,1,synthetic-convention
milan,SS,2011,2011-09-22,2011-09-27,8,synthetic-convention
paris,SS,2011,2011-09-28,2011-10-03,10,synthetic-convention
new_york,FW,2012,2012-02-10,2012-02-16,5,synthetic-convention
london,FW,2012,2012-02-17,2012-02-22,1,synthetic-convention
milan,FW,2012,2012-02-23,2012-02-28,8,synthetic-convention
paris,FW,2012,2012-02-29,2012-03-05,10,synthetic-convention
new_york,SS,2012,2012-09-07,2012-09-13,5,synthetic-convention
london,SS,2012,2012-09-14,2012-09-19,1,synthetic-convention
milan,SS,2012,2012-09-20,2012-09-25,8,synthetic-convention
paris,SS,2012,2012-09-26,2012-10-01,10,synthetic-convention
new_york,FW,2013,2013-02-08,2013-02-14,5,synthetic-convention
london,FW,2013,2013-02-15,2013-02-20,1,synthetic-convention
milan,FW,2013,2013-02-21,2013-02-26,8,synthetic-convention
paris,FW,2013,2013-02-27,2013-03-04,10,synthetic-convention
new_york,SS,2013,2013-09-13,2013-09-19,5,synthetic-convention
london,SS,2013,2013-09-20,2013-09-25,1,synthetic-convention
milan,SS,2013,2013-09-26,2013-10-01,8,synthetic-convention
paris,SS,2013,2013-10-02,2013-10-07,10,synthetic-convention
new_york,FW,2014,2014-02-07,2014-02-13,5,synthetic-convention
london,FW,2014,2014-02-14,2014-02-19,1,synthetic-convention
milan,FW,2014,2014-02-20,2014-02-25,8,synthetic-convention
paris,FW,2014,2014-02-26,2014-03-03,10,synthetic-convention
new_york,SS,2014,2014-09-12,2014-09-18,5,synthetic-convention
london,SS,2014,2014-09-19,2014-09-24,1,synthetic-convention
milan,SS,2014,2014-09-25,2014-09-30,8,synthetic-convention
paris,SS,2014,2014-10-01,2014-10-06,10,synthetic-convention
new_york,FW,2015,2015-02-13,2015-02-19,5,synthetic-convention
london,FW,2015,2015-02-20,2015-02-25,1,synthetic-convention
milan,FW,2015,2015-02-26,2015-03-03,8,synthetic-convention
paris,FW,2015,2015-03-04,2015-03-09,10,synthetic-convention
new_york,SS,2015,2015-09-11,2015-09-17,5,synthetic-convention
london,SS,2015,2015-09-18,2015-09-23,1,synthetic-convention
milan,SS,2015,2015-09-24,2015-09-29,8,synthetic-convention
paris,SS,2015,2015-09-30,2015-10-05,10,synthetic-convention
new_york,FW,2016,2016-02-12,2016-02-18,5,synthetic-convention
london,FW,2016,2016-02-19,2016-02-24,1,synthetic-convention
milan,FW,2016,2016-02-25,2016-03-01,8,synthetic-convention
paris,FW,2016,2016-03-02,2016-03-07,10,synthetic-convention
new_york,SS,2016,2016-09-09,2016-09-15,5,synthetic-convention
london,SS,2016,2016-09-16,2016-09-21,1,synthetic-convention
milan,SS,2016,2016-09-22,2016-09-27,8,synthetic-convention
paris,SS,2016,2016-09-28,2016-10-03,10,synthetic-convention
new_york,FW,2017,2017-02-10,2017-02-16,5,synthetic-convention
london,FW,2017,2017-02-17,2017-02-22,1,synthetic-convention
milan,FW,2017,2017-02-23,2017-02-28,8,synthetic-convention
paris,FW,2017,2017-03-01,2017-03-06,10,synthetic-convention
new_york,SS,2017,2017-09-08,2017-09-14,5,synthetic-convention
london,SS,2017,2017-09-15,2017-09-20,1,synthetic-convention
milan,SS,2017,2017-09-21,2017-09-26,8,synthetic-convention
paris,SS,2017,2017-09-27,2017-10-02,10,synthetic-convention
new_york,FW,2018,2018-02-09,2018-02-15,5,synthetic-convention
london,FW,2018,2018-02-16,2018-02-21,1,synthetic-convention
milan,FW,2018,2018-02-22,2018-02-27,8,synthetic-convention
paris,FW,2018,2018-02-28,2018-03-05,10,synthetic-convention
new_york,SS,2018,2018-09-07,2018-09-13,5,synthetic-convention
london,SS,2018,2018-09-14,2018-09-19,1,synthetic-convention
milan,SS,2018,2018-09-20,2018-09-25,8,synthetic-convention
paris,SS,2018,2018-09-26,2018-10-01,10,synthetic-convention
new_york,FW,2019,2019-02-08,2019-02-14,5,synthetic-convention
london,FW,2019,2019-02-15,2019-02-20,1,synthetic-convention
milan,FW,2019,2019-02-21,2019-02-26,8,synthetic-convention
paris,FW,2019,2019-02-27,2019-03-04,10,synthetic-convention
new_york,SS,2019,2019-09-13,2019-09-19,5,synthetic-convention
london,SS,2019,2019-09-20,2019-09-25,1,synthetic-convention
milan,SS,2019,2019-09-26,2019-10-01,8,synthetic-convention
paris,SS,2019,2019-10-02,2019-10-07,10,synthetic-convention
new_york,FW,2020,2020-02-07,2020-02-13,5,synthetic-convention
london,FW,2020,2020-02-14,2020-02-19,1,synthetic-convention
milan,FW,2020,2020-02-20,2020-02-25,8,synthetic-convention
paris,FW,2020,2020-02-26,2020-03-02,10,synthetic-convention
new_york,SS,2020,2020-09-11,2020-09-17,5,synthetic-convention
london,SS,2020,2020-09-18,2020-09-23,1,synthetic-convention
milan,SS,2020,2020-09-24,2020-09-29,8,synthetic-convention
paris,SS,2020,2020-09-30,2020-10-05,10,synthetic-convention
new_york,FW,2021,2021-02-12,2021-02-18,5,synthetic-convention
london,FW,2021,2021-02-19,2021-02-24,1,synthetic-convention
milan,FW,2021,2021-02-25,2021-03-02,8,synthetic-convention
paris,FW,2021,2021-03-03,2021-03-08,10,synthetic-convention
new_york,SS,2021,2021-09-10,2021-09-16,5,synthetic-convention
london,SS,2021,2021-09-17,2021-09-22,1,synthetic-convention
milan,SS,2021,2021-09-23,2021-09-28,8,synthetic-convention
paris,SS,2021,2021-09-29,2021-10-04,10,synthetic-convention
new_york,FW,2022,2022-02-11,2022-02-17,5,synthetic-convention
london,FW,2022,2022-02-18,2022-02-23,1,synthetic-convention
milan,FW,2022,2022-02-24,2022-03-01,8,synthetic-convention
paris,FW,2022,2022-03-02,2022-03-07,10,synthetic-convention
new_york,SS,2022,2022-09-09,2022-09-15,5,synthetic-convention
london,SS,2022,2022-09-16,2022-09-21,1,synthetic-convention
milan,SS,2022,2022-09-22,2022-09-27,8,synthetic-convention
paris,SS,2022,2022-09-28,2022-10-03,10,synthetic-convention
new_york,FW,2023,2023-02-10,2023-02-16,5,synthetic-convention
london,FW,2023,2023-02-17,2023-02-22,1,synthetic-convention
milan,FW,2023,2023-02-23,2023-02-28,8,synthetic-convention
paris,FW,2023,2023-03-01,2023-03-06,10,synthetic-convention
new_york,SS,2023,2023-09-08,2023-09-14,5,synthetic-convention
london,SS,2023,2023-09-15,2023-09-20,1,synthetic-convention
milan,SS,2023,2023-09-21,2023-09-26,8,synthetic-convention
paris,SS,2023,2023-09-27,2023-10-02,10,synthetic-convention
new_york,FW,2024,2024-02-09,2024-02-15,5,synthetic-convention
london,FW,2024,2024-02-16,2024-02-21,1,synthetic-convention
milan,FW,2024,2024-02-22,2024-02-27,8,synthetic-convention
paris,FW,2024,2024-02-28,2024-03-04,10,synthetic-convention
new_york,SS,2024,2024-09-13,2024-09-19,5,synthetic-convention
london,SS,2024,2024-09-20,2024-09-25,1,synthetic-convention
milan,SS,2024,2024-09-26,2024-10-01,8,synthetic-convention
paris,SS,2024,2024-10-02,2024-10-07,10,synthetic-convention
new_york,FW,2025,2025-02-07,2025-02-13,5,synthetic-convention
london,FW,2025,2025-02-14,2025-02-19,1,synthetic-convention
milan,FW,2025,2025-02-20,2025-02-25,8,synthetic-convention
paris,FW,2025,2025-02-26,2025-03-03,10,synthetic-convention
new_york,SS,2025,2025-09-12,2025-09-18,5,synthetic-convention
london,SS,2025,2025-09-19,2025-09-24,1,synthetic-convention
milan,SS,2025,2025-09-25,2025-09-30,8,synthetic-convention
paris,SS,2025,2025-10-01,2025-10-06,10,synthetic-convention
